Food Name,Description,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Retinol Equivalent (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
"Biscuits, short or sweet, half coated in chocolate","10 samples, 6 products, including milk and plain chocolate, shortcake, rich tea, gems and animal shapes",2.20,1.06,6.00,24.20,70.30,506.00,2124,34.90,,35.50,Tr,Tr,Tr,32.5,Tr,3.0,0.0,1.9,1.4,54.00,12.50,8.13,1.89,1.13,0.27,35.70,8.19,36.01,8.27,9.30,2.15,9.30,2.15,53.72,12.43,0.28,0.07,0.30,0.08,15.50,249.00,260.00,123.00,35.00,123.00,2.40,0.27,0.70,190.00,0.56,4.00,8.00,22.00,Tr,22.00,Tr,1.84,,0.10,0.08,0.90,1.20,2.10,0.07,Tr,8.00,0.37,2.50,0.00
"Biscuits, short, sweet","12 samples, 11 products, including malted milk, shortcake, nice",2.90,0.98,5.60,20.90,71.70,479.00,2016,48.00,,23.80,0.6,Tr,0.6,22.0,0.6,Tr,0.0,1.6,2.2,50.30,10.05,10.45,2.09,0.35,0.07,37.60,7.46,37.85,7.51,10.80,2.16,10.80,2.16,50.22,10.03,0.08,0.02,0.20,0.05,10.20,403.00,155.00,95.00,20.00,106.00,1.64,0.12,0.70,380.00,0.64,3.00,Tr,0.00,0.00,0.00,0.00,2.68,4.00,0.17,0.02,1.30,1.10,2.40,0.05,0.00,9.00,0.37,2.30,0.00
"Biscuits, wholemeal, homemade",Recipe,7.60,2.14,12.70,7.50,66.60,369.00,1561,62.50,,4.20,Tr,,Tr,0.9,0.3,2.9,0.0,8.0,9.2,,3.89,,,,,,,,1.62,,,,0.95,,,,,,0.21,15.80,69.00,423.00,104.00,82.00,315.00,2.26,0.34,2.00,215.00,1.82,5.00,21.00,66.00,40.00,73.00,0.10,0.76,0.42,0.26,0.20,4.40,3.00,7.60,0.37,0.50,15.00,0.99,8.40,1.00
"Black gram, chilki urad dahl, dried, split, boiled in unsalted water",Soaked and boiled,72.00,1.28,8.00,0.40,13.60,90.00,382,13.00,,0.30,Tr,0.0,Tr,0.3,0.0,0.0,,N,,,0.10,,,,,,,,0.10,,,,0.20,,,,,,,0.00,13.00,260.00,41.00,49.00,92.00,2.00,0.23,0.90,N,0.40,N,N,0.00,12.00,2.00,0.00,N,,0.11,0.09,0.50,1.50,2.00,N,0.00,33.00,N,N,Tr
"Black gram, chilki urad dahl, split, dried, raw",Partial seed coat. Literature sources,11.50,4.16,26.00,1.40,42.50,287.00,1216,39.30,,1.30,0.1,0.0,0.1,1.1,0.0,0.0,,N,,,0.20,,,,,,,,0.20,,,,0.70,,,,,,,0.00,40.00,800.00,130.00,150.00,290.00,6.30,0.72,2.80,N,1.20,N,N,0.00,38.00,6.00,0.00,N,,0.42,0.37,2.00,4.90,6.90,N,0.00,132.00,N,N,Tr
"Black gram, duhli urad dahl, split, dried, boiled in unsalted water",Soaked and boiled,71.30,1.29,8.10,0.40,15.10,96.00,409,14.50,,0.30,Tr,0.0,Tr,0.3,0.0,0.0,,N,,,0.10,,,,,,,,0.10,,,,0.20,,,,,,,0.00,13.00,260.00,23.00,42.00,87.00,2.00,0.23,0.90,N,0.40,N,N,0.00,12.00,2.00,0.00,N,,0.11,0.09,0.50,1.50,2.00,N,0.00,33.00,N,N,Tr
"Black gram, duhli urad dahl, split, dried, raw",No seed coat. Literature sources,11.50,4.35,27.20,1.40,44.00,298.00,1262,40.80,,1.30,0.1,0.0,0.1,1.1,0.0,0.0,,N,,,0.20,,,,,,,,0.20,,,,0.70,,,,,,,0.00,40.00,800.00,72.00,130.00,270.00,6.30,0.72,2.80,N,1.20,N,N,0.00,38.00,6.00,0.00,N,,0.42,0.37,2.00,5.10,7.10,N,0.00,132.00,N,N,Tr
"Black gram, urad gram, whole, dried, boiled in unsalted water",Soaked and boiled,71.30,1.25,7.80,0.40,13.60,89.00,379,13.00,,0.30,Tr,0.0,Tr,0.3,0.0,0.0,0.0,N,,,0.10,,,,,,,,0.10,,,,0.20,,,,,,0.00,0.00,13.00,260.00,49.00,52.00,120.00,2.00,0.23,0.90,N,0.40,N,N,0.00,12.00,2.00,0.00,N,,0.11,0.09,0.50,1.50,2.00,N,0.00,33.00,N,N,Tr
"Black gram, urad gram, whole, dried, raw",Literature sources,11.50,3.98,24.90,1.40,40.80,275.00,1169,37.60,,1.30,0.1,0.0,0.1,1.1,0.0,0.0,0.0,N,,,0.20,,,,,,,,0.20,,,,0.70,,,,,,0.00,0.00,40.00,800.00,150.00,160.00,370.00,6.30,0.72,2.80,N,1.20,N,N,0.00,38.00,6.00,0.00,N,,0.42,0.37,2.00,4.60,6.60,N,0.00,132.00,N,N,Tr
"Black pudding, dry-fried","8 samples, 6 brands",44.30,1.65,10.30,21.50,16.60,297.00,1236,16.40,,0.20,0.1,Tr,Tr,0.1,Tr,Tr,0.0,0.2,N,,8.50,,,,,,,,8.10,,,,3.60,,,,,,N,68.00,940.00,110.00,120.00,16.00,80.00,12.30,0.11,0.70,1560.00,N,6.00,5.00,41.00,Tr,41.00,0.70,0.24,,0.09,0.07,1.00,2.80,3.80,0.04,1.00,5.00,0.60,2.00,0.00
"Black pudding, raw","8 samples, 6 brands",50.30,1.46,9.10,20.60,14.80,277.00,1154,14.60,,0.20,,,,,,,0.0,N,,,7.70,11.20,1.75,1.00,0.16,48.00,7.51,,9.50,12.20,1.91,,2.40,39.20,6.14,0.10,0.02,0.40,0.06,43.00,830.00,95.00,110.00,14.00,70.00,10.90,0.10,0.60,1380.00,0.35,5.00,4.00,N,Tr,N,0.60,0.16,,0.09,0.07,1.20,2.00,3.20,0.09,1.00,2.00,0.41,4.00,0.00
"Blackberries, raw","11 samples, UK and imported",87.50,0.18,1.10,0.20,5.60,27.00,115.00,0.00,,5.60,2.60,0.00,3.00,Tr,Tr,0.00,0.00,3.10,3.40,,Tr,,,,,,,,0.10,,,,0.10,,,,,,0.00,0.00,1.00,154.00,24.00,18.00,24.00,0.31,0.07,0.17,22.00,0.69,Tr,1.00,0.00,41.00,7.00,0.00,2.37,,0.02,0.05,0.50,0.10,0.60,0.05,0.00,34.00,0.25,0.40,7.00
"Blackberries, stewed with sugar","Calculated from 700g fruit, 210g water, 84g sugar",78.90,0.11,0.70,0.20,13.80,56.00,239,0.00,,13.80,2.5,,2.5,8.9,0.0,0.0,0.0,2.4,2.4,,Tr,,,,,,,,0.10,,,,0.10,,,,,,0.00,0.00,1.00,130.00,32.00,17.00,24.00,0.50,0.09,0.20,17.00,1.10,Tr,N,0.00,62.00,10.00,0.00,1.85,,0.01,0.03,0.30,0.10,0.40,0.03,0.00,5.00,0.15,0.20,9.00
"Blackberries, stewed without sugar","Calculated from 700g fruit, 210g water",87.20,0.12,0.80,0.20,4.40,21.00,88,0.00,,4.40,2.1,,2.2,Tr,0.0,0.0,0.0,2.6,N,,Tr,,,,,,,,0.10,,,,0.10,,,,,,0.00,0.00,1.00,140.00,35.00,19.00,26.00,0.60,0.09,0.20,18.00,1.20,Tr,N,0.00,68.00,11.00,0.00,2.03,,0.01,0.03,0.30,0.10,0.40,0.03,0.00,5.00,0.16,0.30,10.00
"Blackberry and apple, stewed with sugar","Calculated from 400g blackberries, 550g apples, 175g water, 115g sugar",79.80,0.07,0.40,0.20,15.80,63.00,268,Tr,,15.80,1.7,,3.6,10.5,0.0,0.0,0.0,1.8,N,,0.03,,,,,,,,0.05,,,,0.09,,,,,,0.00,0.00,2.00,94.00,16.00,9.00,14.00,0.30,0.06,0.10,N,0.47,Tr,N,0.00,27.00,4.00,0.00,0.84,,0.02,0.02,0.20,0.10,0.30,0.04,0.00,3.00,0.06,0.50,9.00
"Blackberry and apple, stewed without sugar","Calculated from 400g blackberries, 550g apples, 175g water",88.30,0.08,0.50,0.20,6.40,28.00,118,Tr,,6.40,1.9,,3.9,0.5,0.0,0.0,0.0,1.9,N,,0.03,,,,,,,,0.05,,,,0.10,,,,,,0.00,0.00,2.00,103.00,17.00,10.00,15.00,0.31,0.05,0.10,N,0.52,Tr,N,0.00,29.00,5.00,0.00,0.93,,0.03,0.03,0.20,0.10,0.30,0.05,0.00,15.00,0.09,0.80,13.00
"Blackcurrant juice drink/squash, diluted",Calculated from 38g concentrate to 250ml water,93.10,0.00,0.00,0.00,7.20,27.00,115,Tr,,7.20,1.2,0.0,1.0,4.8,0.2,0.0,0.0,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.00,2.00,12.00,1.00,0.00,0.00,0.03,0.00,0.00,0.00,Tr,Tr,Tr,0.00,N,N,0.00,N,,Tr,Tr,N,Tr,N,N,0.00,Tr,Tr,Tr,N
"Blackcurrant juice drink/squash, undiluted",Including Ribena and own brands,47.50,0.02,0.10,0.00,54.20,204.00,869,Tr,,54.20,8.8,0.0,7.8,36.3,1.3,0.0,0.0,0.0,0.0,,0.00,,,,,,,,0.00,,,,0.00,,,,,,0.00,0.00,16.00,92.00,8.00,2.00,3.00,0.20,0.01,0.10,2.00,Tr,Tr,Tr,0.00,N,N,0.00,N,,Tr,Tr,N,Tr,N,N,0.00,Tr,Tr,Tr,N
"Blackcurrants, raw","Whole fruit, stalks removed",77.40,0.15,0.90,Tr,6.60,28.00,121,0.00,,6.60,3.0,,3.4,0.3,0.0,0.0,0.0,3.6,N,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.00,3.00,370.00,60.00,17.00,43.00,1.30,0.14,0.30,15.00,0.30,N,N,0.00,100.00,17.00,0.00,1.00,,0.03,0.06,0.30,0.10,0.40,0.08,0.00,N,0.40,2.40,200.00
"Blackcurrants, stewed with sugar","Calculated from 700g fruit, 210g water, 84g sugar",72.90,0.12,0.70,Tr,15.00,58.00,252,0.00,,15.00,2.8,,3.2,9.0,0.0,0.0,0.0,2.8,2.8,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.00,2.00,290.00,47.00,13.00,33.00,1.00,0.11,0.30,11.00,0.20,N,N,0.00,78.00,13.00,0.00,0.78,,0.02,0.04,0.20,0.10,0.30,0.05,0.00,N,0.23,1.40,115.00
"Blackcurrants, stewed without sugar","Calculated from 700g fruit, 210g water",80.70,0.13,0.80,Tr,5.60,24.00,103,0.00,,5.60,2.5,,2.9,0.2,0.0,0.0,0.0,3.1,N,,Tr,,,,,,,,Tr,,,,Tr,,,,,,0.00,0.00,2.00,320.00,51.00,14.00,36.00,1.10,0.12,0.30,12.00,0.30,N,N,0.00,85.00,14.00,0.00,0.83,,0.02,0.04,0.20,0.10,0.30,0.05,0.00,N,0.26,1.50,130.00
"Blancmange, homemade",Recipe,77.10,0.52,3.30,1.60,18.10,96.00,405,6.40,,11.70,Tr,,0.0,7.3,0.0,4.4,0.0,Tr,N,,1.02,,,,,,,,0.38,,,,0.02,,,,,,0.07,5.60,41.00,148.00,114.00,10.00,90.00,0.04,0.01,0.40,84.00,N,1.00,29.00,17.00,8.00,19.00,Tr,0.03,,0.03,0.20,0.10,0.60,0.70,0.05,0.80,7.00,0.58,2.80,1.00
"Bloater, flesh only, grilled",Salted and smoked herring,55.60,3.76,23.50,17.40,0.00,251.00,1043,0.00,,0.00,0.0,,0.0,0.0,0.0,0.0,,0.0,,,4.40,,,,,,,,7.30,,,,3.60,,,,,,,66.00,700.00,450.00,86.00,45.00,360.00,1.70,0.21,1.30,1130.00,0.05,50.00,N,37.00,Tr,37.00,25.00,1.00,,Tr,0.27,4.00,4.40,8.40,0.35,15.00,10.00,0.78,7.00,Tr
"Bloater, flesh only, grilled, weighed with bones and skin",Calculated from grilled 16-170,36.10,2.44,15.30,11.30,0.00,163.00,678,0.00,,0.00,0.0,,0.0,0.0,0.0,0.0,,0.0,,,2.90,,,,,,,,4.80,,,,2.30,,,,,,,43.00,450.00,290.00,56.00,29.00,230.00,1.10,0.14,0.80,730.00,0.03,32.00,N,24.00,Tr,24.00,16.20,0.65,,Tr,0.18,2.60,2.90,5.50,0.23,1.00,6.00,0.51,4.00,Tr
Blueberries,"21 samples, summer and winter, UK grown and imported",85.70,0.14,0.90,0.20,9.10,40.00,169,Tr,,9.10,3.9,Tr,5.2,Tr,0.0,0.0,,1.5,1.5,,0.02,,,,,,,,0.04,,,,0.11,,,,,,0.00,0.00,2.00,66.00,10.00,5.00,16.00,0.55,0.06,0.10,53.00,0.69,Tr,2.00,0.00,14.00,2.00,0.00,0.94,,0.04,0.04,0.30,0.20,0.50,0.01,0.00,8.00,0.20,1.50,6.00
"Boal, raw",Literature sources. Imported frozen from Bangladesh,73.00,2.46,15.40,2.70,0.00,86.00,362,0.00,,0.00,0.0,,0.0,0.0,0.0,0.0,,0.0,,,N,,,,,,,,N,,,,N,,,,,,,N,N,250.00,83.00,N,490.00,0.80,0.05,0.70,N,0.05,N,N,N,Tr,N,N,N,,N,N,1.00,2.90,3.90,N,5.00,N,N,N,Tr
"Bolognese sauce (with meat), homemade",Recipe,70.50,1.89,11.80,11.60,2.80,161.00,668,0.10,0.1,2.60,1.1,Tr,1.1,0.4,0.0,0.0,0.0,0.6,0.7,,4.20,,,,,,,,4.40,,,,1.86,,,,,,0.45,33.40,180.00,288.00,16.00,16.00,104.00,1.13,0.05,2.30,280.00,0.07,4.00,6.00,Tr,694.00,116.00,0.40,1.97,,0.09,0.08,3.00,2.10,5.10,0.22,0.90,7.00,0.28,1.10,3.00
"Bolognese sauce (with meat), made with extra lean minced beef, homemade",Recipe,76.90,2.08,13.00,4.90,2.80,108.00,452,0.10,0.1,2.60,1.1,0.0,1.1,0.4,0.0,0.0,0.0,0.6,0.6,,1.49,,,,,,,,1.66,,,,1.69,,,,,,0.13,20.60,186.00,305.00,16.00,17.00,115.00,1.19,0.08,2.50,286.00,0.07,4.00,8.00,Tr,693.00,116.00,0.30,1.97,,0.09,0.08,3.30,2.30,5.60,0.24,0.90,8.00,0.31,1.10,3.00
Bombay duck,"Literature sources. Salted dried fish, also known as dried lottiya",16.70,9.87,61.70,4.00,0.00,283.00,1197,0.00,,0.00,0.0,,0.0,0.0,0.0,0.0,,0.0,,,N,,,,,,,,N,,,,N,,,,,,,N,N,N,1390.00,N,240.00,19.10,N,N,N,N,N,N,Tr,Tr,Tr,Tr,N,,0.03,0.07,5.70,11.50,17.20,0.97,N,N,N,N,Tr
Bombay mix,"20 samples; savoury mix of gram flour, assorted peas, lentils, nuts and seeds",3.50,3.01,18.80,32.90,35.10,503.00,2099,32.80,,2.30,0.1,,0.1,2.2,0.0,0.0,0.0,6.2,8.8,12.56,3.95,30.95,9.72,4.92,1.55,51.92,16.33,51.92,16.33,35.42,11.14,35.42,11.14,12.53,3.94,0.04,0.01,Tr,Tr,0.00,640.00,770.00,58.00,100.00,290.00,3.80,0.62,2.50,1170.00,1.40,N,N,0.00,Tr,Tr,0.00,4.71,,0.38,0.10,4.30,3.50,7.80,0.54,0.00,N,1.19,24.00,Tr
"Bouillabaisse, homemade",Recipe,75.00,1.80,11.30,10.50,2.00,139.00,579,0.10,,1.70,0.6,,0.5,0.4,0.0,0.0,,0.4,N,,1.34,,,,,,,,6.42,,,,0.88,,,,,,0.00,N,54.00,232.00,29.00,15.00,145.00,0.80,0.06,0.40,145.00,0.05,N,N,4.00,N,N,0.10,N,,N,N,N,2.20,N,N,N,N,N,N,1.00
Bounty bar and own brand equivalents,Manufacturer's data (Mars). milk chocolate,8.60,0.59,3.70,26.30,61.00,480.00,2012,10.60,,50.40,3.2,0.0,0.1,41.7,3.0,2.4,0.0,3.2,3.2,,20.50,,,,,,,,4.80,,,,0.80,,,,,,0.10,4.00,180.00,320.00,57.00,39.00,102.00,1.50,0.47,0.60,400.00,N,N,N,15.00,40.00,22.00,0.30,0.32,,0.04,0.13,0.30,0.80,1.10,0.03,Tr,4.00,0.25,1.00,0.00
"Brain, lamb, boiled",11 samples,77.00,1.86,11.60,8.80,0.00,126.00,523,0.00,,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,41.40,2.00,,,,,,,35.60,1.70,,,20.50,1.00,,,,,Tr,Tr,2200.00,210.00,190.00,11.00,15.00,320.00,1.40,0.23,1.40,250.00,N,N,N,Tr,Tr,Tr,Tr,1.10,,0.10,0.24,2.10,2.50,4.60,0.08,8.00,6.00,1.40,3.00,17.00
"Bran, wheat","5 samples, 4 products",10.40,2.35,14.80,5.50,20.60,186.00,785,18.30,,2.30,Tr,,Tr,2.3,Tr,0.0,0.0,33.0,41.3,19.83,0.89,58.60,2.64,4.82,0.21,16.36,0.74,16.39,0.74,63.60,2.86,63.78,2.86,19.83,0.89,,,0.22,0.02,0.00,3.00,1269.00,65.00,389.00,1078.00,8.60,1.04,5.60,95.00,5.85,14.00,Tr,0.00,0.00,0.00,0.00,1.02,10.40,0.93,0.33,26.10,5.90,32.00,1.15,0.00,76.00,2.50,32.30,0.00
"Brandy snaps, homemade",Recipe,3.20,0.48,2.80,22.50,72.10,489.00,2055,22.00,,50.10,6.3,,6.3,37.3,0.0,0.1,0.7,0.9,1.2,,14.16,,,,,,,,5.70,,,,0.83,,,,,,0.77,57.40,272.00,80.00,39.00,9.00,39.00,1.13,0.10,0.30,352.00,0.46,1.00,10.00,258.00,166.00,286.00,0.20,0.66,2.20,0.06,0.03,0.50,0.60,1.10,0.05,0.10,2.00,0.11,0.50,Tr
Brawn,10 samples,72.00,1.99,12.40,11.50,0.00,153.00,636,0.00,,0.00,,,,,,,0.0,0.0,,,N,,,,,,,,N,,,,N,,,,,,N,52.00,750.00,85.00,38.00,7.00,60.00,1.00,0.19,1.30,1110.00,N,N,N,Tr,Tr,Tr,N,0.06,,0.05,0.08,1.00,2.30,3.30,0.05,Tr,3.00,0.90,Tr,0.00
"Brazil nuts, kernel only",10 samples,2.80,2.61,14.30,68.20,3.10,683.00,2816,0.70,,2.40,0.0,,0.0,2.4,0.0,0.0,0.0,4.3,N,,17.41,39.00,25.43,0.00,0.00,34.30,22.36,,22.36,39.00,25.43,,25.43,26.70,17.41,0.00,0.00,0.00,0.00,0.00,3.00,660.00,170.00,410.00,590.00,2.50,1.76,4.20,57.00,1.20,254.00,20.00,0.00,0.00,0.00,0.00,7.18,,0.67,0.03,0.30,3.00,3.30,0.31,0.00,21.00,0.41,11.00,0.00
"Brazil nuts, kernel only, weighed with shells",Calculated from 14-871,1.30,1.20,6.50,31.40,1.40,314.00,1295,0.30,,1.10,0.0,,0.0,1.1,0.0,0.0,,2.0,,,8.01,,,,,,,,10.29,,,,11.24,,,,,,0.00,0.00,1.00,300.00,78.00,190.00,270.00,1.10,0.81,1.90,26.00,0.50,117.00,9.00,0.00,0.00,0.00,0.00,3.30,,0.31,0.01,0.10,1.40,1.50,0.14,0.00,10.00,0.19,5.00,0.00
"Bread pudding, homemade",Recipe,32.30,0.99,5.90,7.70,48.00,289.00,1220,14.70,,33.30,8.9,,8.5,12.2,1.7,2.0,,1.2,N,,N,,,,,,,,N,,,,N,,,,,,0.05,30.10,238.00,374.00,144.00,23.00,108.00,1.42,0.19,0.70,388.00,0.29,3.00,N,N,60.00,N,N,N,0.14,0.13,0.17,0.80,1.30,2.00,0.09,0.60,12.00,0.40,3.00,0.00
"Bread rolls, brown, crusty","12 samples of 6 rolls, different shops",30.50,1.81,10.30,2.80,50.40,255.00,1085,48.50,,1.90,N,,N,N,N,0.0,0.0,3.5,N,,0.60,,,,,,,,0.60,,,,0.70,,,,,,N,0.00,380.00,200.00,100.00,65.00,190.00,3.20,0.34,1.50,614.00,1.40,4.00,7.00,0.00,0.00,0.00,0.00,Tr,,0.32,0.15,3.80,2.80,6.60,0.20,0.00,63.00,0.50,4.00,0.00
"Bread rolls, brown, soft","14  samples of 6 rolls, different shops",36.40,1.70,9.90,3.20,44.80,236.00,1004,42.00,,2.80,0.5,,0.4,Tr,2.0,0.0,0.0,3.8,4.3,,1.10,,,,,,,,1.00,,,,1.00,,,,,,Tr,0.00,380.00,234.00,201.00,49.00,170.00,2.40,0.18,1.40,614.00,1.20,6.00,6.00,0.00,0.00,0.00,0.00,Tr,,0.29,0.14,3.50,2.60,6.10,0.18,0.00,57.00,0.50,3.00,0.00
"Bread rolls, malted wheat","10 samples, pre-packed, freshly baked, including granary products",34.50,1.70,10.00,4.20,42.70,238.00,1009,39.70,,3.00,0.3,,0.6,Tr,2.0,0.0,0.0,3.6,4.4,,1.08,,,,,,,,1.14,,,,1.42,,,,,,0.04,0.00,370.00,191.00,209.00,39.00,138.00,1.90,0.18,1.10,520.00,0.82,4.00,8.00,0.00,0.00,0.00,0.00,0.23,,0.24,0.09,2.70,2.40,5.10,0.19,0.00,78.00,0.51,0.70,0.00
"Bread rolls, white, crusty",10 samples,29.70,1.60,9.20,2.20,54.90,262.00,1116,52.10,,2.70,Tr,,0.2,Tr,2.6,0.0,0.0,2.4,2.9,28.73,0.51,,,,,27.28,0.48,29.50,0.48,40.56,0.72,41.38,0.72,,,,,Tr,Tr,0.00,400.00,164.00,177.00,22.00,104.00,1.70,0.13,0.90,540.00,0.53,4.00,4.00,0.00,0.00,0.00,0.00,0.23,,0.22,0.07,2.00,2.20,4.20,0.03,0.00,31.00,0.42,0.90,0.00
"Bread rolls, white, soft",10 samples,35.60,1.60,9.30,2.60,51.50,254.00,1078,48.80,,2.60,0.2,,0.2,Tr,2.2,0.0,0.0,2.0,2.6,29.40,0.62,,,,,28.51,0.59,,0.59,39.24,0.82,39.99,0.82,,,,,Tr,Tr,0.00,400.00,145.00,184.00,23.00,99.00,1.50,0.13,0.90,660.00,0.50,6.00,4.00,0.00,0.00,0.00,0.00,0.20,,0.20,0.06,1.80,2.00,3.80,0.03,0.00,27.00,0.40,1.00,0.00
"Bread rolls, wholemeal",10 samples,37.20,1.80,10.40,3.30,46.10,244.00,1037,43.50,,2.60,0.5,,0.5,Tr,1.7,0.0,0.0,4.4,5.5,,0.80,,,,,,,,0.90,,,,0.70,,,,,,Tr,0.00,380.00,248.00,87.00,61.00,197.00,2.40,0.26,1.70,610.00,1.54,7.00,6.00,0.00,0.00,0.00,0.00,0.30,,0.30,0.09,4.10,2.50,6.60,0.10,0.00,57.00,0.60,6.00,0.00
"Bread sauce, made with semi-skimmed milk, HOMEMADE",Recipe,76.60,0.65,4.00,2.50,15.60,97.00,411,9.80,0.4,5.40,0.6,Tr,0.5,0.5,0.5,3.2,0.0,N,N,,1.43,,,,,,,,0.55,,,,0.17,,,,,,0.09,6.90,93.00,166.00,105.00,13.00,88.00,0.36,0.05,0.50,181.00,0.13,N,22.00,25.00,17.00,28.00,Tr,0.12,,0.11,0.16,0.40,0.80,1.20,0.06,0.60,9.00,0.43,2.30,1.00
"Bread sauce, made with skimmed milk, homemade",Recipe,78.00,0.69,4.20,1.40,15.50,88.00,372,10.00,,5.10,0.6,,0.4,0.5,Tr,3.3,,0.6,0.5,,0.41,,,,,,,,0.49,,,,0.17,,,,,,Tr,2.70,142.00,164.00,110.00,14.00,88.00,0.46,0.04,0.50,239.00,0.10,1.00,21.00,N,11.00,N,N,N,Tr,0.05,0.15,0.30,0.80,0.70,0.06,0.60,6.00,0.30,2.00,1.00
"Bread sauce, made with whole milk, homemade",Recipe,75.80,0.67,4.10,3.70,15.40,108.00,455,10.00,,5.00,0.5,Tr,0.4,0.5,Tr,3.1,,0.6,0.5,,1.90,,,,,,,,1.10,,,,0.24,,,,,,0.09,8.40,141.00,161.00,107.00,14.00,88.00,0.46,0.04,0.50,240.00,0.10,N,22.00,N,21.00,N,N,N,,0.05,0.15,0.30,0.80,0.70,0.06,0.60,6.00,0.35,2.00,1.00
"Bread, brown, average","11 samples, 8 brands",41.20,1.40,7.90,2.00,42.10,207.00,882,38.70,,3.40,Tr,,0.3,Tr,3.0,0.0,0.0,3.5,5.0,27.74,0.43,,,,,28.24,0.43,28.43,0.43,42.51,0.65,43.19,0.65,,,,,1.00,0.02,0.00,400.00,216.00,186.00,45.00,157.00,2.20,0.17,1.30,710.00,1.14,4.00,6.00,0.00,0.00,0.00,0.00,0.01,,0.22,0.07,2.80,2.10,4.90,0.17,0.00,45.00,0.46,3.00,0.00
"Bread, brown, toasted","11 samples, 8 brands. Calculated using 22% weight loss",24.60,1.79,10.10,2.60,54.00,266.00,1131,49.60,,4.40,Tr,,0.4,Tr,3.8,0.0,0.0,4.5,6.4,27.74,0.55,,,,,28.24,0.55,28.43,0.55,42.51,0.83,43.19,0.83,,,,,1.00,0.03,0.00,513.00,277.00,238.00,58.00,201.00,2.82,0.22,1.70,910.00,1.46,5.00,8.00,0.00,0.00,0.00,0.00,0.01,,0.24,0.08,3.40,2.70,6.30,0.16,0.00,29.00,0.44,3.80,0.00
"Bread, ciabatta",8 samples,29.20,1.80,10.20,3.90,52.00,271.00,1150,48.90,,3.10,Tr,,0.1,0.3,2.7,0.0,0.0,2.3,3.3,,0.57,,,,,15.94,0.57,59.03,2.11,23.97,0.86,23.97,0.86,,,,,0.51,0.02,0.00,350.00,152.00,121.00,22.00,100.00,1.40,0.09,0.70,540.00,0.60,19.00,10.00,0.00,0.00,0.00,0.00,0.47,,0.24,0.06,2.00,2.20,4.40,0.07,0.00,21.00,0.40,1.00,0.00
"Bread, garlic and herb, retail","10 samples, 10 products , frozen and chilled",25.80,1.23,7.00,16.70,45.10,348.00,1459,42.20,,2.90,0.1,Tr,0.2,Tr,2.5,Tr,0.0,0.8,2.7,54.67,8.63,7.85,1.24,2.02,0.32,32.25,5.09,34.18,5.39,9.87,1.56,9.87,1.56,53.24,8.40,1.43,0.23,1.93,0.31,31.20,476.00,149.00,126.00,21.00,88.00,1.57,0.08,0.70,730.00,0.56,1.00,3.00,179.00,53.00,188.00,Tr,1.79,,0.23,0.13,1.10,1.70,2.80,0.14,0.10,11.00,0.20,0.60,Tr
"Bread, malt, fruited","6 samples, 3 brands",24.20,1.40,7.80,2.30,64.90,295.00,1256,42.30,,22.60,7.4,,6.3,1.0,7.2,0.7,0.0,2.6,3.5,20.00,0.52,,,,,34.86,0.91,39.80,1.00,38.65,1.01,39.69,1.01,,,,,5.95,0.16,0.30,246.00,234.00,104.00,37.00,125.00,1.70,0.14,0.70,408.00,0.71,10.00,27.00,Tr,Tr,Tr,Tr,0.18,,0.24,0.32,2.40,1.90,4.30,0.11,0.00,34.00,N,N,Tr
